legal_entity_customer_number,banding,credit_risk_rating_description,exist_days,prod_mix_m1,prod_mix_m2,prod_mix_m3,prod_mix_m4,prod_mix_m5,prod_mix_m6,prod_mix_m7,prod_mix_m8,prod_mix_m9,sites_visited_m1,sites_visited_m2,sites_visited_m3,sites_visited_m4,sites_visited_m5,sites_visited_m6,sites_visited_m7,sites_visited_m8,sites_visited_m9,volume_m1,volume_m2,volume_m3,volume_m4,volume_m5,volume_m6,volume_m7,volume_m8,volume_m9,churn_label
1297,C,C - High Risk,3440,7,9,9,6,8,7,7,6,8,13,14,13,6,9,9,9,9,14,889.56,1041.81,981.75,543.72,808.52,753.2,845.05,893.49,1093.73,0
1298,C,F - Other,3432,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,2,61.04,109.81,52.85,52.59,56.27,35.37,84.12,25.41,39.23,0
1299,D,C - High Risk,3436,3,2,2,4,6,4,4,4,4,1,1,1,1,1,1,1,1,1,8.18,11.38,11.25,8.48,15.33,10.32,12.95,9.9,11.17,0
1300,C,C - High Risk,3432,10,12,10,10,9,9,10,9,11,24,30,25,13,23,28,25,14,28,2711.68,3396.39,2972.23,1991.74,3235.53,4233.56,4129.86,2753.54,3783.79,0
1301,D,C - High Risk,3443,7,5,7,6,5,5,7,6,7,9,8,14,7,8,8,8,10,8,512.45,420.51,734.94,95.08,464.68,372.28,836.88,1035.72,810.95,0
1302,C,C - High Risk,3438,4,6,4,4,4,4,4,4,3,17,26,20,20,17,26,18,21,24,3656.43,4641.77,4077.18,4291.68,4023.89,4225.84,3369.98,3466.2,3681.81,0
1303,B,C - High Risk,3431,9,10,12,8,9,10,12,13,12,57,53,53,45,48,40,38,30,33,8730.07,9182.28,9589.14,7656.56,8356.29,8708.47,7061.49,8578.52,8402.49,0
1304,D,C - High Risk,3429,8,9,9,10,8,7,6,6,0,6,5,6,7,4,4,4,5,0,68.12,232.93,343.82,810.72,939.29,730.49,611.36,493.74,0,0
1305,C,C - High Risk,3440,10,10,7,4,7,9,10,8,10,19,20,9,3,10,11,16,15,22,1885.77,2030,1237.92,363.41,1073.95,1552.44,1818.56,1730.65,1836.15,0
1306,C,B - Medium,3422,4,4,5,4,5,5,5,4,5,3,3,4,3,3,5,3,3,3,325.73,358.4,300.37,174.57,320.81,391.98,386.71,326.5,294.71,0
1307,D,C - High Risk,3429,2,1,1,2,2,1,5,1,1,3,2,2,2,2,2,3,2,2,92.56,96.09,68.12,65.36,61.48,111.94,174.04,69.02,100.05,0
1308,C,C - High Risk,3439,7,6,6,6,6,7,5,7,5,30,16,16,5,16,19,16,16,13,3006.75,1442.59,1277.84,378.47,1355.82,1623.44,1634.2,1452.46,1625.31,0
1309,D,C - High Risk,3423,8,6,7,5,6,6,7,8,6,2,2,2,1,1,2,2,2,1,51.14,212.5,189.75,56.05,1.95,7.27,38,61.44,4.85,0
1310,C,F - Other,3425,3,2,1,1,1,4,2,2,2,2,1,1,2,1,2,2,1,2,38.32,47.26,12.26,68.65,16.77,52.66,69.21,49.27,42.68,0
1311,D,C - High Risk,3417,3,3,3,0,3,3,3,3,3,1,1,1,0,1,1,1,1,1,10.76,17.66,6.04,0,6.72,13.38,12.61,17.19,14.66,0
1312,B,B - Medium,3417,5,5,5,5,4,5,4,4,5,11,8,10,9,12,10,9,9,8,2890.94,1971.65,2298.41,2239.1,2281.58,2154.45,2416.86,1712.38,1985.64,0
1313,C,C - High Risk,3417,6,7,6,5,5,5,7,6,6,15,21,16,4,14,12,15,13,19,1480.16,2409.88,2449.72,395.78,1464.05,1318.12,1446.18,1643.82,2408.14,0
1314,B,B - Medium,3419,5,4,5,3,6,5,6,6,6,4,4,4,4,5,5,5,6,5,879.56,923.1,967.4,928.06,1133.67,1290.94,1601.52,1554.98,1462.24,0
1315,D,C - High Risk,3412,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41.14,22.03,35.96,20.37,36.14,49.9,4.46,11.86,9.44,1
1316,B,C - High Risk,3412,10,11,9,6,9,10,9,7,9,20,22,22,15,20,17,19,20,17,18815.05,23403,20705.06,9829.56,16362.81,16619.91,15477.03,16859.89,18151.97,0
1317,C,C - High Risk,3405,12,9,9,8,9,9,7,8,8,26,26,21,14,22,30,26,28,32,3145.05,3149.05,2623.68,1907.71,2872.33,3174.55,2753.78,2548.22,3115.88,0
1318,B,C - High Risk,3404,7,6,5,5,6,5,6,6,6,8,7,6,3,5,6,6,5,5,7028.99,7495.98,5432.45,2569.02,5775.33,6098.5,5526.69,4547.98,5021.59,0
1319,D,C - High Risk,3416,5,4,3,3,4,3,5,5,5,1,1,1,1,1,1,1,1,1,23.58,20.11,19.39,13.35,11.36,5.63,19.03,12.84,24.11,0
1320,A,B - Medium,3414,8,11,11,7,11,12,13,11,11,33,35,36,17,33,39,41,49,41,3097.51,3604.13,3129.72,2065.56,3469.35,4078.63,4660.06,5941.9,5441,0
1321,D,C - High Risk,3415,8,7,6,8,7,5,8,7,8,17,11,11,13,10,10,13,13,13,1643.64,1559.45,1283.87,1389.45,1094.49,1395.75,1550.11,1354.39,1706.7,0
1322,D,D - No Unsecured credit,3410,3,3,3,4,4,4,4,3,4,1,1,2,2,1,1,2,2,2,177.18,179.16,142.32,159.57,156.44,144.9,259.87,153.69,213.37,0
1323,D,C - High Risk,3413,8,8,7,6,6,9,6,7,7,2,3,2,2,2,3,3,3,3,149.24,232.28,255.92,47.97,299.67,569.97,625.98,444.03,709.82,0
1324,A,C - High Risk,3409,7,6,8,6,8,6,7,6,7,13,10,9,9,12,13,13,8,9,2652.01,2369.68,1422.39,1502.46,2565.29,3120.92,2511.43,1818.17,2247.9,0
1325,D,C - High Risk,3414,4,3,4,5,4,6,3,4,3,2,1,1,1,1,1,1,1,1,174.19,121.83,170.35,121.04,144.52,136.03,173.24,109.53,94.06,1
1326,D,C - High Risk,3405,4,4,3,4,5,4,3,3,2,1,1,1,1,1,1,1,1,1,127.26,122.29,54.4,62.62,98.5,86.8,88.38,56.24,76.33,0
1327,C,C - High Risk,3404,9,8,8,8,9,7,9,9,10,9,8,8,8,8,7,9,8,10,834.34,774.65,1188.23,2724.77,1447.38,941.28,952.64,936.07,958.55,0
1328,C,C - High Risk,3398,7,7,7,4,6,8,8,6,6,31,29,21,10,20,24,37,24,35,3490.13,3892.78,2192.78,789.42,2644.65,3368.33,4675.54,2301.08,4703.11,0
1329,B,C - High Risk,3409,8,7,6,6,7,7,7,8,6,9,8,8,7,7,9,8,8,6,3864.73,4401.74,4131.68,3386.01,3314.24,4028.99,4095.32,3710.97,4170.33,0
1330,D,B - Medium,3398,10,10,10,7,11,11,10,10,11,21,21,19,9,15,23,22,19,21,2819.02,2607.66,2171.21,1104.06,1558.87,2732.21,2835.42,2177.22,2641.91,0
1331,C,F - Other,3403,1,1,0,2,1,0,1,1,1,1,1,0,1,1,0,1,1,1,18.95,6.16,0,18.25,14.57,0,17.6,19.49,13.73,0
1332,C,F - Other,3398,3,4,3,2,2,2,3,2,4,2,2,3,2,2,2,2,2,2,134.26,113.49,99.71,79.66,83.83,69.8,131.29,55.08,117.6,0
1333,C,F - Other,3385,1,1,0,1,6,1,3,1,1,1,3,0,1,3,2,5,2,2,48,75.3,0,18.2,45.29,38.24,95.25,38.2,51.07,0
1334,C,F - Other,3383,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17.95,5.6,18.13,12.04,10.93,5.94,10.83,3.38,6.51,0
1335,C,C - High Risk,3394,5,6,4,6,6,6,6,6,5,6,5,5,4,2,5,4,3,3,414.81,377.05,379.59,294.22,170.52,308.77,213.28,151.55,173.39,0
1336,D,C - High Risk,3393,5,3,3,1,3,4,4,6,3,7,4,2,1,1,4,5,8,5,398.44,212.87,149.34,75.95,99.02,222.91,228.89,452.6,366.41,0
1337,D,C - High Risk,3382,3,3,2,1,2,2,4,3,3,1,1,1,1,1,1,1,1,1,14.8,14.56,20.86,19.8,17.31,24.06,37.69,40.42,40.49,0
1338,B,C - High Risk,3395,8,9,7,7,7,8,8,8,7,34,40,47,22,13,32,43,20,36,11815.01,11200,12754.03,6528.38,6188.77,9068.71,10297.48,7985.95,9826.45,0
1339,D,C - High Risk,3393,7,6,9,3,10,10,9,3,5,39,36,46,22,19,42,22,7,9,3015.01,2452.35,4227.84,1716.42,1543.13,3978.03,1636.14,618.68,763.18,0
1340,B,C - High Risk,3374,8,9,10,0,8,9,10,8,10,33,42,35,0,19,28,34,18,45,17184.26,24112.64,15719.98,0,2939.97,6171.12,8338.84,1910.06,9919.04,0
1341,D,C - High Risk,3391,5,8,0,6,6,6,5,7,5,2,3,0,2,3,2,1,2,2,280.59,307.76,0,94.46,186.64,67.46,16.24,315.6,74.35,0
1342,D,C - High Risk,3375,6,6,7,7,7,7,7,7,8,1,1,1,1,1,1,1,1,1,33.12,32.94,11.87,12.48,25.54,24.02,30.41,23.63,30.05,0
1343,C,C - High Risk,3383,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,1050.74,1161.86,1439.4,739.02,977.09,1010.32,1174.04,1296.47,1249.98,0
1344,D,C - High Risk,3380,2,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,157.35,62.71,111.65,64.83,63.19,63.2,70.68,54.13,71.78,0
1345,D,C - High Risk,3378,4,3,2,2,3,3,4,2,3,3,3,1,1,1,1,1,1,2,451.23,314.06,141.26,172.99,144.01,237.19,199.7,141.85,210.2,0
1346,C,C - High Risk,3373,6,6,6,4,5,8,7,5,6,16,17,26,13,12,18,14,15,15,1567.48,1586.68,1866.85,1156.25,958.33,1495.87,1062.4,1368.21,1491.55,0
1347,D,B - Medium,3379,8,6,7,7,6,8,6,6,7,9,9,8,7,6,11,9,8,11,1363.53,872.46,442.71,199.38,879.96,994.62,578.59,688.23,1530.36,0
1348,C,F - Other,3376,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,24.83,30.65,20.41,11.31,13.36,29.45,19.16,16.83,14.61,0
1349,C,F - Other,3370,4,5,4,2,2,2,2,4,1,2,2,1,1,1,1,2,2,1,85.07,71.32,35.14,14.8,20.59,15.04,23.85,51.48,15.16,0
1350,D,C - High Risk,3364,10,8,3,4,3,5,4,6,4,23,23,14,13,14,16,11,20,21,1967.32,2149.82,1086.37,1219.91,1184.84,1408.33,836.34,1480.39,1774.66,0
1351,C,F - Other,3376,4,6,4,2,3,4,4,5,4,1,2,1,1,1,2,1,1,1,40.97,47.45,32.09,19.49,29.3,70.87,38.4,38.6,30.71,0
1352,C,B - Medium,3376,4,3,4,3,4,4,3,4,2,2,2,2,2,2,3,2,2,2,239.65,443.7,774.27,426.59,745.73,538.94,392.96,362.5,311.26,0
1353,D,C - High Risk,3358,4,3,3,1,1,2,2,1,3,2,2,1,1,1,1,1,1,1,108.76,93.64,29.95,2.43,8.58,7.26,11.08,17.57,17.16,0
1354,D,C - High Risk,3366,6,6,6,6,6,5,6,6,7,4,5,4,3,3,3,4,3,5,151.53,851.46,436.9,136.13,103.72,18.29,128.35,68.07,264.84,0
1355,C,C - High Risk,3358,3,3,4,2,2,2,2,3,5,1,1,1,1,1,1,1,1,1,30.54,30.64,35.49,29.28,30.92,30.23,32.24,30.22,38.07,0
1356,C,F - Other,3362,4,4,1,0,1,0,1,1,2,2,1,2,0,1,0,1,1,2,71.9,36.17,70.1,0,37.06,0,103.56,31.11,74.65,0
1357,D,B - Medium,3368,15,14,13,10,14,11,12,11,11,3,3,3,2,3,2,2,3,3,186.23,193.66,63.88,91.31,146.65,125.21,129.79,215.54,172.68,0
1358,C,F - Other,3375,1,1,2,0,0,2,2,1,2,1,1,1,0,0,1,1,1,1,33.34,26.62,56.23,0,0,35.18,25.57,22.68,28.33,0
1359,D,C - High Risk,3363,0,4,4,2,5,6,6,6,4,0,5,5,2,3,3,6,4,3,0,339.29,873.97,26.69,67.44,5.64,258.75,62.01,168.59,0
1360,D,C - High Risk,3370,10,6,7,3,1,5,6,4,7,15,13,11,3,2,9,11,8,11,906.24,817.78,519.01,202.79,201.63,532.08,791.67,665.39,750.1,0
1361,C,C - High Risk,3368,2,4,4,4,5,4,7,5,4,9,12,10,7,8,6,8,7,8,1156.36,1800.69,2192.58,1363.69,1720.59,1267.29,1467.45,1603.61,1692.71,0
1362,C,C - High Risk,3354,11,13,11,11,9,9,12,10,13,16,17,15,12,13,13,17,14,18,3162.93,3412.64,3000.87,2257.43,2742.33,3142.64,3852.95,2456.73,3613.28,0
1363,C,F - Other,3368,2,1,2,0,3,1,2,1,4,1,1,1,0,1,1,2,1,1,37.01,33.94,27.16,0,57.97,35.29,71.13,31.76,106.49,0
1364,D,C - High Risk,3352,1,3,2,2,1,2,1,3,3,3,4,2,2,3,3,2,4,3,100.79,102.09,76.44,53.06,74.54,94.63,84.65,101.35,110.71,0
1365,D,C - High Risk,3362,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,27.14,17.81,37.3,28.53,36.14,26.45,23.01,42.76,26.96,0
1366,D,C - High Risk,3362,12,11,10,10,10,9,11,10,12,20,12,10,13,19,14,18,11,12,1492.79,604.4,626.76,584.94,2444.3,1375.23,1999.25,214.51,592.97,0
1367,C,C - High Risk,3367,9,9,8,5,7,7,6,5,5,15,14,17,6,15,14,10,7,9,5133.69,5492.66,4190.93,48.04,2633.33,3637.13,3161.55,1928.68,2758.94,0
1368,D,C - High Risk,3362,3,5,4,0,3,3,3,3,0,6,10,6,0,5,7,5,5,0,247.58,1251.45,726.13,0,99.02,380.66,293.36,413.38,0,0
1369,B,C - High Risk,3351,16,16,17,14,16,18,16,15,16,6,6,6,4,6,6,5,4,5,6087.88,4127.22,4766.99,3850.24,3989.92,4067.98,4351.04,1398.28,2651.66,0
1370,B,A - Low Risk,3356,7,8,9,8,8,7,8,8,9,6,6,8,6,6,5,5,6,6,6432.16,6736.27,6383.42,5264.38,6467.96,5080.71,4716.07,7405.41,7573.28,0
1371,D,B - Medium,3357,3,4,5,5,4,3,0,4,5,3,7,5,6,5,6,0,4,5,960.74,2066.19,3223.89,3778.47,4414.27,4576.31,0,245.96,12.14,0
1372,D,C - High Risk,3367,0,2,2,2,3,0,4,3,2,0,2,2,2,3,0,5,3,2,0,35.67,22.55,31.54,36.89,0,130.72,101.45,34.47,0
1373,B,C - High Risk,3362,14,10,10,11,10,10,12,7,9,11,12,12,9,10,13,9,7,11,8327.22,8892.29,8302.19,4420.89,4959.03,9099.29,5953.78,6326.95,8922.6,0
1374,D,C - High Risk,3364,8,4,3,4,7,8,8,7,9,1,1,1,1,1,1,2,1,1,74.19,71.97,37.5,22.61,67.25,47.88,104.56,85.73,67.31,0
1375,B,B - Medium,3354,17,17,17,15,9,15,9,11,9,249,253,240,271,212,214,251,261,246,32227.35,33387.03,36102.49,38462.22,34203.59,34963.15,43656.1,39163.03,41104.24,0
1376,B,B - Medium,3353,15,18,17,10,11,13,10,12,16,30,27,27,18,29,21,24,22,20,11415.11,11293.07,9333.91,6204.37,11265.57,8973.61,10497.62,5886.28,7172.99,0
1377,B,C - High Risk,3344,6,7,5,5,5,5,5,5,6,8,11,8,7,12,8,11,9,11,5567.45,4387.98,6097.16,4411.47,6047.73,5366.56,5556.76,8017.69,5697.19,0
1378,C,C - High Risk,3341,3,4,4,2,3,2,3,3,3,1,1,1,1,1,1,1,1,1,7.48,11.03,7.95,8.06,13.69,13.93,11.81,16.03,12.22,0
1379,D,D - No Unsecured credit,3356,5,8,6,6,5,8,6,5,6,26,39,13,12,10,15,14,10,13,1943.42,1986.84,662.56,816.6,498.4,1022.53,705.55,395.01,495.88,0
1380,A,C - High Risk,3352,4,3,4,4,4,4,4,3,3,1,1,1,1,1,1,1,2,1,52.1,70.88,83.16,37.66,101.82,151.58,144.38,109.57,105.52,0
1381,B,B - Medium,3346,12,11,9,7,9,12,12,13,14,25,24,17,16,19,29,28,30,26,2609.45,2106.66,1837.83,1229.11,1808.67,2712.92,2446.35,2506.79,2015.99,0
1382,B,B - Medium,3341,4,6,4,5,6,4,5,4,5,3,5,3,5,5,4,5,5,3,963.81,1506.48,1069.27,1813.7,2134.66,1958.39,1962.76,1564.19,1307.15,0
1383,D,C - High Risk,3352,7,6,4,3,4,4,4,3,4,1,1,1,1,1,1,1,1,1,144.53,27.62,30.63,50.41,37.84,27.65,35.19,50.5,27.74,0
1384,D,C - High Risk,3336,5,3,1,1,1,3,2,3,3,8,5,4,3,5,5,6,6,10,699.41,450.24,466.24,343.63,660.63,476.53,696.25,810.03,916.94,0
1385,D,C - High Risk,3349,5,3,3,2,1,1,2,1,4,2,2,1,1,1,1,1,2,1,543.2,302.78,40.76,85.44,28.75,29.85,123.6,117.08,250.09,0
1386,B,C - High Risk,3341,5,6,3,1,0,1,1,1,2,22,21,7,2,0,1,1,2,3,2519.75,1851.47,1087.33,55.92,0,58.91,14.47,186.02,196.24,0
1387,D,A - Low Risk,3328,11,9,9,5,7,10,8,5,5,19,16,15,7,15,13,13,10,13,1255.03,1140.17,705.86,391.99,716.24,833.21,722.46,556.76,791.39,0
1388,C,C - High Risk,3324,6,6,5,5,5,6,5,6,3,14,12,12,12,13,16,13,18,18,4163.21,6172.15,3676.73,3024.68,3941.01,3373.74,3110.03,2888.18,4286.17,0
1389,B,B - Medium,3334,7,8,7,7,6,6,4,8,6,9,9,11,7,6,10,9,10,10,1366.93,1335.68,2211.68,937.59,1167.83,1737.83,1646.14,1952.49,2207.22,0
1390,C,A - Low Risk,3321,3,4,6,6,6,6,4,6,5,19,24,19,16,23,22,21,21,19,3371.25,3284.46,3267.18,2411.97,3383.46,3549.92,3871.87,3954.68,3981.12,0
1391,D,C - High Risk,3319,9,8,7,4,8,9,9,8,9,22,30,15,6,16,20,16,24,20,1254.12,1499.6,755.27,138.25,831.14,863.93,1023.18,1263.12,1221.86,0
1392,D,A - Low Risk,3318,3,4,4,3,2,4,4,4,4,35,44,28,15,33,43,42,28,39,2900.72,3140.06,2397.66,1414.23,2380.5,3029.71,3200.19,2048.92,2766.65,0
1393,D,C - High Risk,3304,4,3,3,3,1,1,2,2,2,1,1,2,2,1,1,1,1,2,224.45,341.56,252.96,257.86,202.29,310.46,780.61,242.27,631.74,0
1394,D,C - High Risk,3310,4,4,2,3,4,5,4,2,3,3,4,2,1,3,4,3,3,5,129.95,203.09,160.97,102.87,201.24,196.37,147.47,163.52,284.28,0
1395,D,C - High Risk,3322,4,4,5,3,3,4,3,5,3,2,2,1,2,2,1,1,4,2,1776.47,1728.71,1258.7,304.93,1394.53,1989.17,2307.25,2708.55,2198.71,0
1396,D,B - Medium,3319,6,7,7,4,6,5,7,6,7,16,17,13,9,10,11,10,13,14,2664.92,1863.15,1295.09,998.16,2245.94,1307.44,304.1,1377.4,1030.94,0
1397,D,C - High Risk,3303,6,5,4,5,5,4,4,3,6,1,1,1,1,1,1,1,1,1,148.86,105.85,82.76,85.99,124.17,205.94,184.83,179.35,188.12,0
1398,D,C - High Risk,3316,1,1,1,0,2,1,3,1,1,1,1,1,0,2,1,1,1,1,38.44,30.3,53.52,0,57.78,60.14,91.94,31.06,33.41,0
1399,B,B - Medium,3310,6,6,6,5,7,6,6,7,6,50,49,38,19,37,37,38,32,35,12329.53,11154.43,9551.01,4033.7,8977.1,10485.45,9537.36,8536.45,10658.11,0
1400,C,C - High Risk,3315,5,4,4,4,4,4,3,4,5,19,17,19,16,18,19,17,16,20,2645.67,2506.29,2561.52,1549.89,2077.16,1909.83,2332.73,1588.8,2180.02,0
1401,B,C - High Risk,3298,13,8,8,5,5,6,5,8,7,21,24,22,11,9,10,12,17,21,3209.54,3337.94,4215.29,2857.92,2752.56,2716.68,3125.43,3844.95,4295.01,0
1402,C,B - Medium,3295,5,5,6,5,5,5,5,6,5,3,3,2,2,2,2,2,3,2,390.52,393.85,302.13,252.37,295.58,326,359.39,321.44,352.26,0
1403,D,C - High Risk,3302,3,3,3,3,3,3,5,4,4,2,3,3,1,1,1,2,2,2,367.82,403.7,437.91,85.06,65.06,88.65,156.88,134.46,273.28,0
1404,C,F - Other,3308,2,1,2,1,2,2,4,4,1,1,2,3,1,1,1,2,3,2,57.2,75.13,60.36,3.37,39.43,28.29,69.47,73.02,67.35,0
1405,D,B - Medium,3296,4,5,3,3,3,3,4,3,3,10,8,10,6,8,7,11,11,10,886.6,496.16,822.16,355.13,655.94,526.19,950.47,1047.66,921.5,0
1406,B,C - High Risk,3302,6,4,4,2,4,5,4,2,3,77,55,65,51,53,55,60,58,63,9073.48,7621.01,8935.51,6739.76,6283.3,6936.07,7321.47,6841.61,7851.85,0
1407,C,C - High Risk,3293,7,5,7,6,7,8,6,6,6,30,27,36,11,28,30,34,30,27,2608.21,2351.24,2949.97,623.8,1963.42,2752.3,2609.5,2350.88,2405.38,0
1408,C,C - High Risk,3302,15,13,14,13,13,14,15,14,14,44,44,33,23,32,28,38,30,31,6285.68,6404.98,4383.97,3450.75,5032.99,5053.42,5686.65,5600.07,4987.82,0
1409,D,C - High Risk,3288,6,7,5,5,5,6,7,6,7,3,2,2,1,2,2,3,3,3,220.29,132.45,111.27,42.87,212.53,149.54,209.02,279.39,161.21,0
1410,D,C - High Risk,3298,6,5,7,5,6,5,6,5,5,17,15,15,13,17,17,19,19,15,1567.77,1493.91,1732.38,1621.97,1610.77,1347.98,1246.37,1424.36,1845.65,0
1411,B,B - Medium,3288,7,7,8,5,9,5,5,8,6,30,47,49,46,26,34,22,16,23,5572.99,11923.82,12953,12560.68,4996.75,4520.04,2648.13,993.81,3716.94,0
1412,B,C - High Risk,3282,12,9,8,8,12,8,9,9,7,29,19,17,21,17,17,24,17,18,3531.08,2529.08,2087.32,2483.9,1724.05,1706.97,2513.06,1840.52,2253.51,0
1413,C,F - Other,3285,0,2,1,2,1,2,1,1,0,0,1,1,1,1,1,1,1,0,0,4.7,3.69,3.74,3.23,3.81,4.06,11.04,0,0
1414,C,F - Other,3284,1,0,0,1,1,1,1,4,1,1,0,0,1,1,1,1,1,1,28.92,0,0,17.68,26.47,14.39,15.41,34.31,16.91,0
1415,B,C - High Risk,3279,7,10,11,8,8,9,8,7,10,32,44,42,36,33,30,41,30,46,7732.73,11439.97,10897.33,7104.69,8632.78,8941.63,10442.52,11951.07,12290.82,0
1416,B,B - Medium,3284,13,12,14,11,9,12,14,12,10,17,20,23,20,17,19,21,20,18,7041.95,9611.05,9486.29,7980.2,7788.58,6671.06,8836.68,6640.14,9023.15,0
1417,B,B - Medium,3278,4,5,2,0,3,4,4,4,5,35,38,26,0,18,38,19,24,30,4633.16,4794.71,3190.57,0,1946.13,5070.04,2979.92,2752.89,3450.17,0
1418,D,B - Medium,3269,2,4,2,2,5,7,3,2,4,1,1,1,1,1,2,1,1,1,35.4,37.01,38.84,22.82,62.45,91.36,57.4,74.08,67.98,0
1419,C,C - High Risk,3274,6,3,5,3,3,3,4,3,3,12,9,13,6,10,9,11,9,10,1392.31,1007.8,1303.93,355.38,869.19,894.2,1207.9,977.76,1052.09,0
1420,B,B - Medium,3277,9,10,9,7,7,9,9,12,13,18,33,30,21,22,31,29,24,36,4902.15,9969.31,11663.31,7487.31,9373.06,12080.75,12636.14,11967.35,14661.92,0
1421,C,C - High Risk,3278,7,7,6,5,5,5,6,6,6,42,56,72,50,51,66,58,51,57,3194.44,4025.69,5743.34,3689.93,3306.57,5375.05,4324.34,4022.63,4870.5,0
1422,D,C - High Risk,3265,4,5,3,1,2,2,4,4,4,2,2,1,1,1,1,1,1,1,1058.19,1574.55,723.22,9.11,38.36,45.81,102.22,104.79,947.65,0
1423,D,C - High Risk,3260,3,5,4,4,3,3,3,3,3,1,1,1,1,1,1,1,1,1,22.83,16.94,26.96,25.42,23.84,31.99,26.24,31.8,32.09,0
1424,D,C - High Risk,3256,9,8,7,5,0,0,5,8,7,8,7,7,4,0,0,5,5,6,712.13,470.98,965.56,26.01,0,0,295.39,469.02,447.52,0
1425,C,C - High Risk,3270,9,7,8,7,6,7,9,8,7,21,22,16,9,11,21,23,16,23,1556.81,1749.92,1119,562.38,849.03,1483.46,1725.56,972.1,1651.51,0
1426,D,C - High Risk,3258,1,3,3,1,1,4,3,1,2,6,8,4,2,6,7,5,4,5,938.47,846.41,376.66,84.55,592,579.47,583.7,705.87,637.11,0
1427,D,C - High Risk,3244,4,1,2,1,3,4,3,3,5,25,19,20,10,9,23,16,8,20,1364.56,1198.88,982.96,429.49,429.19,1022.54,805.28,302.56,857.2,0
1428,C,C - High Risk,3248,8,7,8,0,6,6,8,8,7,7,7,5,0,4,5,6,6,5,1596.17,561.94,687.86,0,12.87,20.27,106.91,688.96,24.22,0
1429,B,B - Medium,3235,2,3,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,48.25,58.63,32.09,17.54,45.19,44.87,39.22,40.61,25.21,0
1430,C,F - Other,3251,2,1,1,1,1,2,2,3,3,1,1,1,1,1,1,1,1,1,4.64,2.99,3.54,1.34,1.69,7.49,4.97,8.63,7.36,0
1431,C,F - Other,3240,1,1,0,0,1,1,1,2,1,1,1,0,0,1,2,1,1,1,21.9,24.08,0,0,74.18,71.93,22.2,55.76,43.45,0
1432,C,C - High Risk,3235,5,4,3,3,6,3,3,6,6,6,4,5,2,5,5,5,6,6,483.72,398.47,465.76,92.18,400.1,578.29,526.53,440.32,491.26,0
1433,D,C - High Risk,3240,10,10,10,9,11,9,8,13,10,7,9,8,8,8,8,7,8,9,64.52,336.95,905.56,74.97,208.83,205.11,45.69,189.36,345.8,0
1434,C,B - Medium,3242,1,1,1,1,1,2,2,3,3,2,1,1,1,1,2,1,2,2,454.62,279.06,812.14,538.39,944.52,405.88,106.8,1170.48,550.6,0
1435,D,B - Medium,3235,6,5,7,2,7,9,8,8,7,4,3,4,2,5,5,6,6,6,344.43,230.7,244.95,45.55,175.56,149.4,241.63,148.76,158.34,0
1436,D,B - Medium,3246,6,5,8,7,9,4,7,7,8,5,4,3,3,4,3,4,3,3,1448.03,1193.46,1206.34,816.19,1279.39,1108.93,1058.94,1051.85,941.69,0
1437,B,B - Medium,3238,7,6,5,7,7,7,5,7,7,14,9,9,12,14,12,12,9,11,9053.94,9161.3,7658.31,4567.17,4808,9118.46,9165.89,6107.83,8214.01,0
1438,C,C - High Risk,3245,5,8,3,5,6,4,4,4,5,12,17,10,14,10,7,6,6,9,4499.75,6011.11,4251.09,3526.98,2406.01,2500.8,1565.54,2909.69,2547.85,0
1439,C,C - High Risk,3234,3,2,2,2,3,4,4,3,3,9,10,11,8,9,12,8,8,11,3718.14,6326.69,7659.98,3425.58,4222,5099.13,521.35,2972.28,2590.03,0
1440,C,F - Other,3250,4,3,3,1,2,1,2,1,2,2,1,2,1,1,1,2,2,2,116.66,125.22,85.05,112.22,98.82,47.18,66.13,105.16,97.24,0
1441,C,C - High Risk,3241,4,5,7,6,4,5,4,4,7,5,6,12,13,8,10,8,7,10,952,707.03,5515.94,7140.25,4391.75,4557.31,4407.53,1877.88,2188.42,0
1442,C,B - Medium,3246,8,7,5,7,6,7,6,6,10,2,2,2,3,2,3,3,2,3,786.22,844.7,912.58,1058.34,928.06,1066.37,1035.21,981.34,1177.65,0
1443,C,C - High Risk,3245,5,6,6,1,2,5,5,5,3,38,28,30,9,12,9,22,12,18,3651.85,2540.31,2128,1158.62,1185.09,897.59,2276.49,1463.81,1557.3,0
1444,C,F - Other,3231,4,3,2,3,1,3,2,2,5,1,1,1,1,1,2,1,1,1,45.47,37.63,30.59,46.12,41.27,63.24,41.29,57.17,55.24,0
1445,D,C - High Risk,3238,3,3,3,3,4,6,5,4,5,3,1,1,1,1,1,1,2,2,219.64,104.43,114.17,95.19,130.56,198.87,182.12,165.08,168.24,0
